id;nome;nazione;citta;indirizzo;latitudine;longitudine;prezzoMedio;takeAway;booking;tipoCucina;descrizione;servizi;recensioniIDs
38;Dwain;Guatemala;Jalpatagua;8588 Prentice Park;14.136844;-90.008975;100;false;false;Philippines;02790543932353229948570537086757934594400718322060456345810639136472279538661278 16030565756494028169161;96021061228799844710106764153068779145462883177232745463855014834791260390065589 51255052287245034524349;
39;Hermon;China;Haixing;17486 Nevada Park;38.143169;117.497651;5;true;true;Italy;72328416563334564378221001900101838449801823049646262916426453033163969377812743 73158337871994210210373;17443820160216678400948837449693596160465796479178995357088175031176651966266229 48384850645651012889546;
40;Mady;China;Yangce;76143 Pepper Wood Place;30.5211502;112.8915932;9;false;true;China;31243436623699910505755169023364775353544324947802448954519743753753975808849218 88382348346468881611663;65041004547285687014893862073629104786781547749817508516150667398404579737713343 46749532014684299592932;
41;Oona;China;Dajianchang;4 Stang Way;39.472463;117.091582;5;true;true;Indonesia;33318469470950121224695593382518963654942261930993194924254541954367204670596690 05053209701636935197733;43521213052547780380375744092711724627656157522198660741117166563089163279767367 46713100771711299118821;
42;Creigh;Indonesia;Jatirejo;940 Esch Junction;-7.617735;112.4172256;69;true;true;Russia;98945251922366871917448076352975645413182139837952197282795467671929483487641956 58350053549550521844952;73693700797880326137058036466016638852647258100900877486797194699068843665465056 89299149907892694193674;
43;Edlin;Poland;Złotniki Kujawskie;2360 Cordelia Drive;52.8886634;18.1227285;35;true;false;Brazil;72034202635809462710433166684288912802188986244130449576634689802383000902184367 07885731812512330727742;96323399304448477642857160839940947942260178863294826022321840224882787126482345 19085932495531266142371;
44;Leicester;China;Erling;7 Oak Valley Crossing;26.6679155;105.7676313;63;false;false;Indonesia;11645612551815167019824456558939812964235898570435265955357161807242363129448644 41785009469844657167708;78808164352601119407373264709788506792265674633464016260514608483085358742058737 60203770461157106516880;
45;Paulo;China;Yangong;093 Paget Way;31.304274;117.924148;100;true;false;Uganda;53340791393407053462910067787319043128908154844295666103178594276323866746062243 53941376714124828631106;55235183772351140652280177654571751001891385163267818774278537881836300368214957 52958935509526474586397;
46;Seymour;United States;Charlotte;538 Novick Center;35.21;-80.69;47;false;true;Finland;07666104496383991580808360237444837737572054933545743174142757454764984429970151 76508206409586073718687;03689544956416745429740345395540636933752802775885215626571034024003803960178028 89467375231879235970201;
47;Ellery;Russia;Rassvet;04 Moulton Alley;55.823907;37.518127;9;false;true;Indonesia;11036524457523246263433387591054111963224996904548493896321245880720800457654942 34169069059183724451706;53568557142935199897959636490941608950294542938943376870782631925986308016624674 33655869185871277901745;
48;Terry;Russia;Nagutskoye;076 Rieder Hill;44.4412922;42.8839636;23;false;true;Argentina;35790350475756342961372359200931825647428499176919392678725558326568695892611778 59983027701380446690301;55909967446905910610519978155369718120574072641736694660038483873619673787148033 38602765822145732395747;
49;Farrah;Kenya;Moyale;212 Farwell Lane;3.5399846;39.0528407;95;false;true;Brazil;66510665225628454265765121818088446738365645464735190040815828244094263889117609 97461272052678697807989;64729193248151359601681034160751218082850673019633243188373319109341699557408429 95878669848127294387779;
50;Toby;Sweden;Värmdö;470 Northport Junction;59.35;18.5;28;true;true;Indonesia;88277572688672594069605635650678021330654607374415252740049585428013667676060422 97734189330865149071741;50308120718822099111504594141336482904386077802168975407115432709927592687168557 09085168989242574127102;
51;Marice;Brazil;Porto Velho;00403 Karstens Hill;-8.7611605;-63.9004303;65;true;false;China;40703747559718476208311034675674946052692788500149210475493422628838298805319163 55977741551562755074094;50627101663877533895554511322087166526833077713387479416510896821375632049756279 48104660068585792611811;
52;Stan;Kenya;Kitale;312 Porter Road;1.019089;35.0023048;32;false;false;China;03908400055352194004179693323014584247449119905151212143995028356473313541946814 77228769560759865041997;53512950797077539805765379062440071728643731293964754043562870125210331506802958 01134977430225878199279;
53;Tabby;Zambia;Isoka;76900 Elka Hill;-10.1535089;32.6362231;20;true;true;South Korea;26158984127614343312388534282345192409383319624370813163667461422785663222338798 61249028795099970776753;66965832281183696710177521356879302311161596056512781604491175211819831740665391 31097180254885430964918;
54;Dalis;China;Lengshuitan;68 Clemons Court;26.461076;111.592142;24;false;false;Dominican Republic;58973172592962347748008638543238133654425479231234392769713414579296406431050420 20858323213958063467820;41580171236658707315646917802315145144569634300596088640683193262064791647843380 81912310979990012821696;
55;Fitzgerald;United States;Cleveland;3758 Golf Hill;41.451118;-81.6309078;46;true;false;United Arab Emirates;52749430748791618606968382768385236753276688889238187343294691128819788969692462 74603164259872396915240;10113250049402104462933658236169416356613157435604641891430335020196118375835083 90384199851537418664091;
56;Analise;Iran;Shāhīn Shahr;052 American Road;32.8796692;51.5465539;45;false;false;France;10367425842943558467467480863479793024311571460434495991311390650116260235494770 71841029153486197604417;63840498552155986208760205320801843417160674547716119598056931154851822918128266 09779134423042493394068;
57;Shay;Sweden;Gävle;75 Golf View Way;60.6815788;17.1350993;82;false;false;Philippines;79513195863502749056379666516014549103995306217320868037300056454881657614227520 15461167028072259172691;64390122439840708172229232057490559450415453067351891741864325358034447188117048 18341996211688081525841;
58;Jaime;United States;Seattle;792 Bartelt Parkway;47.61;-122.33;52;true;false;Macedonia;22007696057952677750266957895672022516092428173184418093108018525051680113854934 36402947852526159117547;23935969852159459561866349128298707549465072716336097021369379040007583426180605 17802610783189026608836;
59;Yasmeen;Russia;Murom;88 Elgar Hill;55.5376879;42.0791342;52;true;true;Argentina;17206241057047859010504453796498790058287337787271377506047933327691864248520974 79929195917704794780517;28322135084007342808082487474108986720523135700690422426477959092440280705024459 21618422814417322180173;
60;Lynelle;Poland;Ornontowice;045 Tennessee Circle;50.1934213;18.7546431;17;true;false;Czech Republic;94190547985176793167609007152971821549437355641394339043708447226193382423352050 01854344533494837877570;71131351612542431434444095212007398609437003805604822938286087449461053586100425 89447241005637163444337;
61;Haslett;Indonesia;Nuasepu;5866 Redwing Alley;1.4745288;124.8441178;54;false;false;Philippines;15560016286734118424895984245842369196380938628794269170849732322337248653362644 32667395305667436789079;53739625682868636928166379340690804230865126311044862831452928819122006315671441 42692363747506904692345;
62;Brittni;Brazil;Júlio de Castilhos;2 Oxford Crossing;-29.2293516;-53.6827015;61;false;true;United States;93153859828666783170466479587623727561008682373395929367269528641221470481500867 29628747122255018303607;41089959623983836937630619560521780628442237878098737380212781165582106079778010 35340742344038038386793;
63;Toiboid;Philippines;Atimonan;98706 Truax Place;14.0004996;121.9279688;52;false;false;Libya;54460914278364440074401380482943924966683118404975907651035548748874481949464254 96550149057585381645006;23345449520260009211121435335591977264393173707051333420920871155167069562234492 58922775257103803625787;
64;Englebert;Paraguay;Colonia Catuete;98608 Upham Terrace;-24.2481501;-54.7576819;5;false;false;Guatemala;28949622189892419088004153101416853264315877562667015928273078245470442000066816 93311159209950198305894;29224623606931722477529028267364832478150008184033583743715839230284101299190762 52758713822060130146659;
65;Nettle;Czech Republic;Zlonice;12 Sauthoff Circle;50.287503;14.0921466;44;false;false;Indonesia;61627428609059910559382749663140833975772288908230190596224358909443876532749458 31393524551585223896386;58719424231285030044494731802201954146687083291827919634224592075449903461969241 18884438778110403745264;
66;Dolly;France;Cergy-Pontoise;57 Mifflin Road;49.039076;2.074954;65;false;false;China;68781048409926746142235816049691609048319188027317802203818466609137619128280163 31875659048824802942794;42311948975193345448006502440634830725426286745174796850620103323343827910400679 20973123993025588905017;
67;Gualterio;Indonesia;Tonggakjati;45 Sauthoff Pass;-6.2404416;107.281417;54;true;false;Philippines;94507038442460885805150638487875214620239394705024758322171694531036057976426379 02878585120435039602877;58910797623823854894534736446703207602780384027475687519340371775244968296948014 31967504577254349104188;
68;Sunny;Botswana;Manyana;51814 Lawn Parkway;-24.7711226;25.5897031;36;false;false;Czech Republic;95646345976731094040410931054913932581431227070012646204191118315818931079085085 02853163222076623257201;83172098926959541996781196984416970512424483025708836139206329952393542473136888 59454127743971108318547;
69;Bryanty;China;Chaka;4059 Almo Plaza;30.912302;95.604143;60;false;true;Ukraine;13638053502712447906789411015046217768236444200339711865907127449421248115387004 95686947165329766927801;26757962510484011884262595741340294097750162458179149899799251782842376403445448 50196730437926962693977;
70;Danny;Ukraine;Ripky;1799 Muir Circle;51.8051758;31.0940874;31;true;false;Poland;27780875511872408172111912891737871236250383088800597298872056933930067338528684 59514145723085268159484;11985569612131077712974472429635506007638769319832455672727606671304773452381745 60527812612560493221159;
71;Dominick;Indonesia;Adiwerna;42 Basil Street;-6.9391309;109.1259181;58;true;true;Poland;95191950649457052031495267198291994158991380531607708477316413564079010429900914 59233555781827102135350;75205411112045503844270650008833530691561737172693403536931706137994795003512110 08111084449238783005132;
72;Theresita;Portugal;Duas Igrejas;78718 Loeprich Pass;40.9522224;-8.4649248;59;true;true;Indonesia;00969722779976540803478102300660499965883271924967749960209153107368001488230593 07306232821151855099356;23951673518225234413304038106641561054380488547823069955484810887850872550794011 58895680919855642037603;
73;Tommy;Vietnam;Đắk Song;37019 East Park;12.2328311;107.6216789;32;true;true;China;00126028084942555535676480970854369625487189770181735776065208523456264949205808 22722180941300417029683;44930476636356323196728023427452182584748090326251033708689143911657462098072499 75250032555162535643580;
74;Arlinda;France;Rueil-Malmaison;7123 Miller Crossing;48.8708001;2.166848;7;false;true;Honduras;37200234696061003125294992628150835509837926557364343276686044215688462765874809 28842824229216015891429;80989912615831758914160993564648237263798420975042824461057032085418842501147670 58982776945029311358783;
75;Ulrich;Philippines;Buawan;09035 Dennis Parkway;14.6423905;120.9575622;96;true;false;Portugal;19373345971576973123401414680363891291210852609002882158236187235376885782685967 30515077848421917212898;11399029685859665525137501102580162678984216062138196537971179774179221671173823 62575767304602272245936;
76;Kerk;China;Yandian;406 Steensland Drive;35.563819;116.651828;75;true;true;Russia;08453107156325615785805126727640999298509551603032568141177854762196704532035475 19792951930635732534097;21688348850041818344022750692674662123403374697161790565112169449211972452360557 92610665993734223752185;
77;Verne;Poland;Szlachta;0452 Mayfield Center;53.7683238;18.1130662;96;false;false;Colombia;75996387362352075805413421934230002475493653586559794149633885832277516418004409 04299119420210708264286;55180858415119631047166383566154677790808608246038686093185083604216470643782229 25394012973057093553002;
78;Sheba;Iran;Jūybār;576 Namekagon Way;36.6454207;52.9009502;29;false;true;Portugal;79386967283757053810625781599828774579219578911870529936923079126873777056219808 14026475831368110049606;12898395720168012804936747982383696054891976994550095851466061211235187949831722 49442255149223389518564;
79;Dorry;China;Jianfeng;560 7th Park;37.515114;103.575676;87;false;false;Peru;11245217223761799002477130610845969016851059268474437107319237703235873335310280 74081438359044516568399;81571680354018061779520425486450189326973008206983326513554660088655921987410579 03789104739721783691770;
80;Karrah;Bosnia and Herzegovina;Blatnica;4 Cardinal Way;43.2600338;17.6896073;58;true;true;Philippines;00175083995707604242731164057254160340948131443364012303512352497033000043326308 02616381044464810104130;70644705359925821481337172745148148217104433618275429976810586214911039751822347 91380861048887244677889;
81;Erny;France;Mantes-la-Jolie;1686 Mosinee Alley;48.9898219;1.7032903;10;false;false;China;19691936909930264986140166854863583819931143390050808719478812634326284050703475 14705519265495605520919;61294139104159869931830945603169717555051282576286117645680007406488282518036158 44107941268029051129715;
82;Kile;Madagascar;Vavatenina;2409 Mayfield Hill;-17.4652462;49.2005539;13;true;false;Serbia;19556638715449940371762514073999173024996867767920521928349949100466954023191545 41190986350683819249417;33821990217114576134636943020020104818674551485571648187292454609551320010940281 65166082381712909414291;
83;Corri;Bangladesh;Lalmanirhat;37 Hintze Plaza;25.9923398;89.2847251;53;true;true;Czech Republic;70443982259020533151051004988265813479785516199939322983212197565991307524531749 08783714552259699805934;50196255165836701316493518668620347703520835743360830061871130845327384531957174 26532481538447062679766;
84;Emylee;Philippines;Sumisip;07 Cody Junction;6.4361438;122.0324423;23;false;false;Sudan;93175288568722504037397575750188586054671464110499427242353886884167863043482732 03302958289250490478432;22621357577203952649657837823121352412108504326887749379979038724039574902345295 28494199828464355370028;
85;Durand;France;Billère;54 Monterey Point;43.3011387;-0.3861522;77;false;true;Japan;44299838791995927670104857430545454806261526031780984008506273488971903736126481 47477424027945780137450;99891659806305373007547714051974264421736810359820145522944056997428273707030786 71806991742043057347394;
86;Sherlocke;Brazil;Manhumirim;684 Heath Crossing;-20.3596647;-41.95889;68;false;false;Cuba;49788707567993883879835197272899554144228021412850519153464280623663504164408918 15518369362594183209457;07433860350861451276576015787760797952030834019101870625538518687760523746126773 17914573436613561506051;
87;Holly-anne;Indonesia;Merdeka;3196 Hoepker Way;-6.9136675;107.6200524;83;true;false;China;86175295929487547389323590421560537630003167525359972284114762655918119932885816 09801157025758967953786;26121996770930795996758814025314981449548926353889440996784678795757659183137928 49347415650685160592804;
88;Emilio;Indonesia;Cikaduen;4 Oriole Lane;-6.3947391;106.0081819;64;false;true;Argentina;51679553938903016460579549174850381942068275742239921379196149293685854446074610 24870311019710094133269;28639000723890748997817894431576164260759867098149138783689397888591252872455870 48325409331370048169691;
89;Howie;Poland;Kowary;71838 Petterle Court;50.7798051;15.8470487;26;false;true;Indonesia;20805270164602280551425433410348194822641102738401953105287000466568160126346217 07328435816170414660652;51490665695833042837895858651903060947628890349736104696973741886766626533849844 68884046989920993772056;
90;Gibby;France;Obernai;72 Columbus Street;48.4621258;7.4888434;18;true;true;Portugal;91129286826411296762810617303697136324186072010625616304914299035060494092880770 68139215999677972977505;52748959472131514529779116186457082220819634277691365519044756202689830570925335 70375410593359632320430;
91;Almire;Croatia;Karlobag;2544 Brickson Park Way;44.5284238;15.0728705;52;false;true;Croatia;84611336702245948084921179421337903631366533998795863121543166484214114755185478 12621439953879524003136;12895620001180877538907581824676315883356126587011223753728985053626545429451771 09789344393256705451801;
92;Nancy;Indonesia;Tulusmulyo;7777 Westerfield Junction;-8.2211;113.2577;84;false;true;China;63056335853074359253947831366703228476608178830296836981213291595647370445750572 35196144698173580491588;88749748250061936202911547139882137246050245789950824802976926386619498467382866 80726796185561340251721;
93;Leroy;China;Beicheng;21858 Canary Parkway;39.224791;117.135488;37;false;true;United States;55733806743814465016469532672366029967439139896869338881395114334776493230487493 76828840859582151239945;82332156541786419242835765569066467928625859453649417445206909495579219997702275 27842893688935951375250;
94;Adams;Russia;Taganskiy;11600 Talmadge Crossing;55.7393377;37.6642542;89;true;true;China;94459025513799292729034754993078676122281413508300020983362367880329209587341358 77634093773737162603898;26022038032464341835851951861079489874232439454134765338189876177494877703641535 86655238840382179700096;
95;Haley;Colombia;Guayabetal;91 Donald Junction;4.2157;-73.81476;19;true;false;Russia;95102651686240777337052896918464644518317568495983425078329034665818348750301932 65568968219618861686466;82044715598957457277885741539027826481438008319904198967450448800322601071487099 12382151327824150359275;
96;Helenka;Argentina;Loreto;2 Kenwood Circle;-32.9761161;-60.6550859;73;false;false;China;35625791619326159422044741983200900812431688654650115527542840875759475982044167 34817691726734306166199;58942136646481627544798183358738718071669611052839223431136179304851269642012743 72838998845427112966849;
97;Juana;Poland;Wyszki;49052 Mayer Lane;52.8522051;23.0334561;20;false;false;Greece;73878122778424934566810248491997562733428684638989148611800377367601529922080429 50239794766476237018844;10874844821312541302951724197987908489996518669429792572269292794222127238761208 69123726693833032799265;
98;Levi;China;Yuyue;86537 Calypso Circle;31.9617032;119.5738403;86;false;true;Colombia;74774026977023811108103613556149294061668176281009002018895493378030136889494947 68360392634535401489056;05205682877377052401113227478538786643246831848294268355900966128891614904262208 15486595898370394698640;
99;Rafael;China;Bacun;59 Magdeline Trail;18.740381;109.735832;97;false;false;Indonesia;28796485272530928146863724986564010798666817273547060378951918577401303098212100 75201757798695772153014;29852830584155017111553047815850385096592859258620091556892414782774134225444625 80907968401812980123978;
100;Andy;China;Qiaotou;6587 Pine View Park;28.168408;120.482198;77;false;true;Philippines;42431010484016726248306195750009516737045291551162640462040777886640540670932638 44661087549782429290592;77831448754786779878071745471000039461978319739574533601002633669366275183905725 35117843841919390642166;
101;Chloette;Serbia;Nakovo;998 Lindbergh Street;45.8788922;20.5527173;74;true;true;Mexico;25961598575413752140818762559973263377137260420183029367694522467514565315915004 00735145064052943158116;57435408268939596073100731085729732997243669158752947454765530752606308689434904 40674439400332682003296;
102;Gian;Russia;Sokol’skoye;95 Alpine Street;57.1447448;43.1648753;57;false;true;China;37977920726753399767985017648065003053015195247208360252396591918093702073275237 42454627940411159057750;72082339108882824874579515359729700965672288744842876455722214800961458926967742 85769184771749253163299;
103;Corinne;China;Yonghe;82560 Forest Run Terrace;36.759507;110.632006;78;false;true;Philippines;22474073024530285095200108088070417569642311150364215574419549892866328404015835 51168669148486403423457;86341848142862355164224300052647736548199130548579829451523168909660666489670466 05330239917556927485119;
104;Barris;Czech Republic;Uherský Ostroh;89 Twin Pines Avenue;48.9855573;17.3898527;63;false;false;Cape Verde;74054598161592219802723904343323407160269705616961832866035276820571955838812994 56319043157363341485153;95523050508158577857510980021066943158189474805673241712402524591128807537572481 09890075630997023534949;
105;Christina;Poland;Lisków;57662 Lillian Circle;51.8326054;18.3984345;34;true;true;Bulgaria;59151256500272997915456829257011702756303696251634126214388094116757746374946044 31530149307863153764528;97556338600726858572629298061821266085637869226423738565795277346473514732985892 59070087022874764922677;
106;Neils;China;Chang’an;4944 Arapahoe Avenue;34.158997;108.906994;83;true;false;Croatia;55869632605143998035296443976938256550165943265585562840001510458737209402485881 32194953592043682778590;85996933747576893845424266647532277852214827337387140370369196493891288464232177 78245803271778000281267;
107;Cassondra;Philippines;San Pablo;65562 Dakota Center;14.5669327;121.0318426;76;true;false;Cyprus;22593551871415943652073590256297675772832533898522201199656675327893059124033463 56523205098475989816240;29562626736244945246886688424246644059494907626411584619140190842657968931033492 52955648435942175559791;
108;Berk;Portugal;Carromeu;8 Rowland Center;40.4140806;-8.738467;76;false;true;Greece;66764628143180216624444415738091079898626178129946101661347183250694945642775373 90766980578535262496899;84381340502134245412930283343678995947300279122768282546902149757519422461497538 07343515649774197629030;
109;Calhoun;Ukraine;Belz;5 Holmberg Way;50.3815209;24.0089352;26;false;false;China;26463540567958202258538509158200723084098608533786969840056120914995298258198560 07731643461403537320245;58796940974339338806674469868704225462092040345466131172081514237630914330907184 16888772898532143504896;
110;Hy;Sweden;Göteborg;31 Maple Avenue;57.6817979;11.9836846;43;true;true;Brazil;30655600999835311853326254700273867733312815089061589797515808775942773148702499 74005918112380146740688;48220523114657028471322869972599323407703762374131312203769232483157597470883813 50985608479494319527329;
