Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
Osteria Francescana,"via Stella 22, Modena, 41121","Modena",€€€€,Creative,10.9215518,44.6448099,+39059223912,https://guide.michelin.com/en/emilia-romagna/modena/restaurant/osteria-francescana,http://osteriafrancescana.it,3 Stars,1,"Air conditioning,Interesting wine list,Wheelchair access","Situated in Via Stella, this restaurant eschews an overly ornate decor in favour of a simpler, more contemporary and elegant style which is enhanced by striking works of art (Massimo Bottura is a passionate art enthusiast). This understated style is echoed in the cuisine, where grandiose gestures are replaced by a balanced approach which pays careful attention to every detail. The menu has a broad reach, including specialities from Modena and Emilia (ingredients such as Parmesan cheese, balsamic vinegar and tagliatelle and tortellini pasta), as well as classic international dishes, which the chef reinterprets with a light and playful touch, reminding us that food should not be a boring ritual but instead an enjoyable experience influenced by memory and culture. The impressive wine list includes lesser-known labels from small-scale producers with interesting stories, as well as top-quality options from established wineries."
Dal Pescatore,"località Runate 15, Runate, 46013","Runate",€€€€,Italian Contemporary,10.3565788,45.1712728,+390376723001,https://guide.michelin.com/en/lombardia/runate/restaurant/dal-pescatore,http://www.dalpescatore.com,3 Stars,1,"Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","Having held three Michelin stars since 1996 (an Italian record), this restaurant is situated in the village of Runate which lies between Cremona and Mantova and has just a few dozen inhabitants. Now close to celebrating half a century in business, Dal Pescatore is run by an extraordinary couple who have transformed what was an old family inn into a temple of elegance and hospitality. Antonio Santini oversees the front of house, while his wife Nadia is at the helm in the kitchen, aided by sons Giovanni and Alberto. In a setting boasting an elegant mix of old and new, where space, light and colours combine to create an enchanting ambience, enjoy memorable dishes that have evolved over the decades, improving year after year without ever succumbing to modern trends so that the focus is always on flavour and the joy of good food. Dal Pescatore boasts a fairy-tale setting, occupying a delightful country house in the Parco dell’Oglio."
Piazza Duomo,"vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051","Alba",€€€€,"Creative, Seasonal Cuisine",8.0359341,44.7005555,+390173366167,https://guide.michelin.com/en/piemonte/alba/restaurant/piazza-duomo,http://www.piazzaduomoalba.it,3 Stars,1,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","A distinctive red door marks the entrance to this temple of Italian cuisine. Once inside, make your way to the first floor, where you’re greeted by pink walls and a fresco by Francesco Clemente, as well as the restaurant’s friendly front-of-house staff. Here, the individual cuisine of chef Enrico Crippa takes centre stage on three tasting menus, with a fourth shorter menu available at lunchtime. One of the menus is inspired by the vegetable gardens and the seasons, another by the region, while the third takes guests on a culinary journey through Italy and further afield. What is obvious in every single, delicious bite is the chef’s passion for plants, with vegetables, flowers, wild and cultivated herbs harvested daily all featuring in memorable, beautifully presented dishes. The iconic appetisers featuring countless delicious ingredients are a feast for the eyes and the tastebuds alike and were particularly enjoyed by our inspectors. It hardly needs mentioning that this region is passionate about wine, so it’s not entirely surprising that the restaurant offers three different wine lists: Solopiemonte pays superb homage to the region, while Tuttoilresto (divided into two options, white and red) is a celebration of French wines. The efficient and enthusiastic serving staff succeed in taking good care of guests without being excessively formal, so that three hours (roughly the amount of time you need to allow for your meal) pass almost without noticing. The chef adds the finishing touch by bidding a discreet and friendly farewell at the end of the meal."
Arnolfo,"viale della Rimembranza 24, Colle di Val d'Elsa, 53034","Colle di Val d'Elsa",€€€€,"Creative, Country cooking",11.1165,43.4221,+390577920549,https://guide.michelin.com/en/toscana/colle-di-val-d-elsa/restaurant/arnolfo,https://www.arnolfo.com/,2 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","With sharp lines created by the use of iron and glass, this modern building is especially designed to allow guests to admire the views from wherever they’re sitting. To the rear of the dining room, the large open-view kitchen framed by a superb yellow Siena marble wall is home to chef Gaetano Trovato (Mentor Chef Award 2024) and his team. Although there are three tasting menus available, one of which is vegetarian, any of the courses can also be chosen à la carte style. We could say so much about Arnolfo’s cuisine, but we’ll limit ourselves to mentioning the bread (which has been central to this chef’s work from the very beginning), duck, Chianina beef, Valdarno chicken and the ice-cream which always features among the desserts. Our inspector particularly enjoyed the delightful amuse-bouche with which guests are welcomed, the caponata with Taggiasca olives and basil, and the mullet served with white asparagus, peas and mint. The wine list is impressive, both for its quality and for the extensive selection of wines not only from Italy and France but also from other countries around the world – 7,000 different labels in total."
Duomo,"via Cap. Bocchieri 31, Ragusa, 97100","Ragusa",€€€€,"Contemporary, Creative",14.7408182,36.9267762,+390932651265,https://guide.michelin.com/en/sicilia/ragusa/restaurant/duomo160079,https://www.cicciosultano.it/,2 Stars,0,"Air conditioning,Interesting wine list","Chef Ciccio Sultano provides an intimate portrait of Sicily at this restaurant situated just a stone’s throw from the Duomo di San Giorgio in the heart of Ibla, one of the most charming historic centres in Sicily. Drawing on his deep knowledge of the region, he creates some of the island’s most spectacular cuisine, which is served in comfortable, intimate dining rooms. There are two tasting menus, from which dishes can also be chosen à la carte. We highly recommend the pasta with sea urchin, chard and hazelnuts."
Harry's Piccolo,"piazza Unità d'Italia 2, Trieste, 34121","Trieste",€€€€,"Italian Contemporary, Mediterranean Cuisine",13.7675069,45.6497242,+39040660606,https://guide.michelin.com/en/friuli-venezia-giulia/trieste/restaurant/harry-s-piccolo,https://www.harrystrieste.it/it/,2 Stars,0,"Air conditioning,Interesting wine list","Thanks to its hushed ambience, Harry’s Piccolo is an ideal choice for a romantic dinner or a business meal, with fine cuisine prepared by chefs Matteo Metullio and Davide De Pra (Passion Dessert Award 2024). Despite their youth, these two chefs demonstrate plenty of ability and creativity, serving dishes that showcase local meat, fish and seafood, and seasonal vegetables, as well as hints of the Orient, in this elegant setting. Memorable dishes include the tagliatelle with mussel water, saffron, sea urchins and wild fennel, and desserts such as the sesame ice cream with pepper cream and a touch of dashi. The wine list focuses particularly on the region, while also featuring some top-quality labels from outside Italy including a good selection of sparkling wines such as the renowned Krug champagne. Added bonuses are the friendly service, and an outdoor space for an aperitif or after-dinner drink with views of one of Italy’s most beautiful squares."
Torre del Saracino,"via Torretta 9, Vico Equense, 80069","Vico Equense",€€€€,Creative,14.419559,40.6606947,+390818028555,https://guide.michelin.com/en/campania/vico-equense/restaurant/torre-del-saracino,https://www.torredelsaracino.it/,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Terrace","From the coast road you take a series of hairpin bends down to Marina di Equa, the beach at Vico, where you will see this old fortified tower standing just a few metres from the sea. In the tower itself, with music playing in the background, guests can savour an aperitif accompanied by an extraordinary selection of imaginative antipasti that offer an introduction to the excellent cuisine that awaits. From here, you move into one of two dining elegant dining rooms decorated in vintage 1970s style which look out at Vesuvius and the Bay of Naples – the setting for a meal that will linger long in the memory. Gennaro Esposito is one of the best chefs in Campania, creating beautifully presented dishes of meat and fish (often in the same dish) that are not only delicious but also full of the colour and vitality of his region."
St. George by Heinz Beck,"viale San Pancrazio 46, Taormina, 98039","Taormina",€€€€,"Creative, Contemporary",15.2900353,37.8554565,+39094223537,https://guide.michelin.com/en/sicilia/taormina/restaurant/st-george-by-heinz-beck,https://www.theashbeehotel.it/menu-st-george-restaurant-by-heinz-beck/,2 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Terrace","One of the most desirable and exclusive locations in Taormina, the St. George is situated in the Hashbee Hotel, an early-20C villa on the edge of Taormina’s historic centre which has retained all the charm of a private house with its elegant lounge and breathtaking terrace adorned with palm trees that frame the Straits of Messina. The cuisine comes courtesy of a partnership between Heinz Beck and resident chef Salvatore Iuliano. The three-starred Michelin chef’s instinctive elegance and gastronomic intuition combine with Calabrian-born Salvatore’s passionate and colourful take on Mediterranean cuisine. Together, the cuisine and setting guarantee an unforgettable dining experience."
Agli Amici,"via Liguria 252, Godia, 33100","Godia",€€€€,"Country cooking, Modern Cuisine",13.2661162,46.1021988,+390432565411,https://guide.michelin.com/en/friuli-venezia-giulia/godia/restaurant/agli-amici,https://www.agliamici.it/,2 Stars,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace","Serving signature cuisine, Agli Amici is one of the leading restaurants in Friuli-Venezia Giulia, a border region of diverse cultural influences that is teeming with top-quality ingredients. Many of these are showcased on the two tasting menus (one of which is vegetarian), from which guests can also choose individual dishes à la carte. Owner-chef Emanuele Scarello makes full use of the array of ingredients from the region’s pastureland, mountains and vegetable gardens, which he transforms into culinary works of art. His interesting use of Godia potatoes involves a modern reinterpretation of a local butter and sage dish using roots, apple and fermented turnips. Front of house, Michela is responsible for a young, close-knit and professional team of staff."
La Rei Natura by Michelangelo Mammoliti,"via Roddino 21, Serralunga d'Alba, 12050","Serralunga d'Alba",€€€€,"Creative, Contemporary",8.0002065,44.5942745,+390173613042,https://guide.michelin.com/en/piemonte/serralunga-d-alba/restaurant/la-rei-natura-by-michelangelo-mammoliti,https://www.ilboscaretoresort.it/ristorante/,2 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","At this restaurant, the young yet already experienced Piedmontese chef (who also has Calabrian origins) offers three tasting menus. Dishes are also available à la carte style on two of these – “ Emozioni” (which features creative dishes inspired by childhood memories and flavours) and “Voyage” (ingredients, recipes and influences from the chef’s experience working around the world, including a delicious mango and coconut dessert). The third, Mad100% Natura, is a blind tasting menu on which the chef demonstrates his love and passion for his ingredients with real creativity. Most of his vegetables are sourced from local biodynamic gardens and greenhouses. On our last visit, we particularly enjoyed the courgettes “alla beccafico”, spaghetti with tomato sauce in honour of Nonna Tita, and the vegetable pizza served as a dessert. The high quality of the cuisine is equalled by the impressive selection of wines."
Caino,"via della Chiesa 4, Montemerano, 58014","Montemerano",€€€€,"Tuscan, Contemporary",11.4906283,42.6220221,+390564602817,https://guide.michelin.com/en/toscana/montemerano/restaurant/caino,https://www.dacaino.com/,2 Stars,0,"Air conditioning,Interesting wine list","Standing in the centre of a charming Tuscan village, Caino is at the epicentre of the cuisine of the Maremma, where Valeria Piccini is its proudest ambassador. This skilful chef sources the best ingredients from the region and then extracts every ounce of flavour from them, as demonstrated by the cacio cheese ravioli in beetroot cream and the pici pasta “alla amatriciana”. If you’re a fan of fish and seafood, try the stew which is made using delicately flavoured fish and a cream sauce, and served with blanched seasonal vegetables and traditional Tuscan crostino. Front of house, Valeria is ably assisted by son Andrea, who oversees the well-stocked wine cellar featuring a selection of different Brunello and Barolo vintages, as well as Bordeaux-style Tuscan labels, all at excellent prices. And if you’re in company, make sure you share a good Vin Santo Occhio di Pernice from 1988 or 1989. In summer, the bistro-style Il Giardino di Caino opens on the terrace, serving simpler dishes inspired by old family traditions."
Seta by Antonio Guida,"via Andegari 9, Milan, 20121","Milan",€€€€,"International, Contemporary",9.1910082,45.4694121,+390287318897,https://guide.michelin.com/en/lombardia/milano/restaurant/seta-by-antonio-guida,https://www.mandarinoriental.com/it/milan/la-scala/dine/seta,2 Stars,0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","Situated within the Mandarin Oriental hotel, a popular choice for international travellers, this restaurant serves cuisine that reflects the cosmopolitan flavours of Milan. Three tasting menus are available: the first showcases chef Antonio Guida’s classic specialities, the second has a seasonal focus, and the third chooses one particular ingredient as its theme. In spring, different species of oily fish take centre stage including anchovies, spatula fish and bonito served with whelks, kidneys and samphire, all of which are truly delicious! The extensive wine selection features a choice of wines by the glass as well as some excellent magnum options, including a few fine vintages."
La Madia,"corso Filippo Re Capriata 22, Licata, 92027","Licata",€€€€,"Creative, Sicilian",13.9338055,37.1070131,+390922771443,https://guide.michelin.com/en/sicilia/licata/restaurant/la-madia,https://www.ristorantelamadia.it/,2 Stars,0,"Air conditioning,Wheelchair access","Park in one of the streets near this restaurant and prepare yourself for a delightful journey through Sicily and its culinary traditions! Chef Pino Cuttaia, who is demonstrably in love with his native island, highlights his ingredients in a simple and unfussy way. He uses contemporary techniques, such as in the extremely light mozzarella and tomato dish served at the beginning of the meal, as well as more traditional methods evident in the black Nebrodi suckling pig served with a tomato-based “sugo della Domenica” (Sunday gravy). The two small dining rooms with a modern and minimalist feel offer an attractive setting for this enjoyable culinary experience. Wine-enthusiasts will appreciate the interesting selection of labels (including large bottles popular with connoisseurs). We recommend the 2019 Baglio Cristo di Campobello Adènzia, a red wine with earthy notes and delightful finesse."
Madonnina del Pescatore,"via Lungomare Italia 11, Marzocca, 60019","Marzocca",€€€€,"Creative, Contemporary",13.2821211,43.6806944,+39071698267,https://guide.michelin.com/en/marche/marzocca/restaurant/madonnina-del-pescatore,https://www.morenocedroni.it/,2 Stars,0,"Air conditioning,Great view,Interesting wine list","It’s now forty years since the Madonnina opened in 1984, yet chef Moreno Cedroni has not lost the creative touch that has resulted in him becoming one of the most influential chefs of his generation. Year after year, eating at La Madonnina remains a novelty: the menu succeeds like no other in reflecting past traditions and future culinary trends, especially in its fish and seafood dishes, and new dishes are added regularly, often having been researched in the laboratory next to the restaurant using specialised food technology. There are two tasting menus available: “Ricordi d'infanzia & Mariella 1984-2024” featuring chef Cedroni’s great classic dishes, and “Luca e Moreno... Il Viaggio di Marco Polo” which includes dishes with an Asian and Middle Eastern influence. The chef’s wife Mariella oversees the excellent service front of house, while this wonderful couple’s commitment to their cuisine is also demonstrated by their vegetable garden situated almost right on the beach, which provides vegetables infused with the salty sea air – a brilliant idea that represents their strong connection to the land. The wine list features a popular selection of French sparkling wines."
Campo del Drago,"Località Castiglion del Bosco, Montalcino, 53024","Montalcino",€€€€,"Contemporary, Tuscan",11.422479,43.08386,+3905771913001,https://guide.michelin.com/en/toscana/montalcino/restaurant/campo-del-drago,https://www.rosewoodhotels.com/it/castiglion-del-bosco/dining/ristorante-campo-del-drago,2 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Terrace,Wheelchair access","A certain amount of patience is required to get to this restaurant accessed via a dusty yet attractive dirt track that wends its way through typical Tuscan landscapes. On arrival, you’ll find an enchanting village of medieval origin with a tower and an old, frescoed church, where the Rosewood Castiglion del Bosco (awarded 3 Michelin keys) offers excellent service, splendid guestrooms and one of the best restaurants in the region. Here, chef Matteo Temperini serves some of the most interesting and creative dishes in Tuscany, many of which are prepared using vegetables from the hotel’s own kitchen garden, all showcased on three tasting menus and an à la carte from which a minimum of three courses must be chosen. Dishes are served in an elegant, contemporary-style dining room with a panoramic terrace, while the wine list features over 700 labels with a focus on the region – plenty of Brunellos, plus a particularly noteworthy 2016 Sasso al Sole, also available by the glass."
Castel fine dining,"vicolo dei Castagni 18, Tirol, 39019","Tirol",€€€€,"Creative, International",11.1568653,46.6862223,+390473923693,https://guide.michelin.com/en/trentino-alto-adige/tirolo/restaurant/castel-fine-dining,https://www.castel-fine-dining.com,2 Stars,0,"Air conditioning,Garden or park,Great view,Interesting wine list,Wheelchair access","180° views of the Val Venosta provide the theatrical setting for chef Gerhard Wieser’s precise, technical cuisine at this restaurant, where the tasting menu changes with the seasons and focuses on the region, with the exception of a few ingredients such as the Sicilian scampi which offer an exquisite alternative to the meat dishes on offer here. Highlights include the local, organic suckling pig ravioli served with parmesan foam and three types of pepper (Szechuan, South Tyrolean and Indian) which add an original flavour to the dish. Talented sommelier Ivana is on hand to help with wine choices, paying careful attention to guests’ individual preferences, while praise is also due to Florian and his staff for their excellent service."
Villa Feltrinelli,"via Rimembranza 38/40, Gargnano, 25084","Gargnano",€€€€,"Creative, Contemporary",10.669477,45.693253,+390365798000,https://guide.michelin.com/en/lombardia/gargnano/restaurant/villa-feltrinelli,https://www.ristorantevillafeltrinelli.com/it/,2 Stars,0,"Air conditioning,Car park,Garden or park,Terrace","Villa Feltrinelli was the lakeside holiday home of the Milanese family of the same name, who chose this beautiful location on Lake Garda for its scenery of rugged mountains and its relaxing ambience. Today, over a century later, this beautiful setting is home to a luxury hotel and restaurant. Sip an aperitif on the lakeside, then move to the beautiful terrace or elegant dining room to enjoy Stefano Baiocco’s surprise tasting menu which features freshwater fish, seafood and the finest cuts of Italian meat, all expertly prepared and skilfully flavoured with different aromatic herbs. In short, this restaurant has it all – timeless appeal, striking architecture and breathtaking beauty."
Il Pagliaccio,"via dei Banchi Vecchi 129/a, Rome, 00186","Rome",€€€€,"Creative, Innovative",12.4673729,41.89793,+390668809595,https://guide.michelin.com/en/lazio/roma/restaurant/il-pagliaccio,https://www.ristoranteilpagliaccio.com/,2 Stars,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","From its location in the heart of Rome, this restaurant takes guests on a culinary journey across the globe, with a focus on Asia and Japan in particular. Anthony Genovese blends influences from his experiences and travels to astonishing effect on two tasting menus – one dedicated to recipes that have become his signature dishes over the years, the other featuring new creations, all served in a quiet, elegant setting where excellent service is the order of the day. When the restaurant is open at lunchtime (on Saturdays), there’s also a shorter tasting menu, while if you want a longer and more private experience, you can book the Parallelsmenu served in a small room for a maximum of six guests."
